Team,STR,KRE,KRERank,KE,KERank,PRE,PRERank,PE,PERank,FGE,FGERank,OFG,OFGRank
Wisconsin,-0.33,0.08,25,-0.08,105,-0.1,47,0.17,61,-1.08,126,0.48,20
Georgia State,-0.39,0,75,-0.01,70,-0.2,95,-0.17,122,0.24,61,-0.69,107
Marshall,-0.4,-0.04,104,-0.02,77,-0.15,76,0.01,107,-0.25,99,-0.61,101
Colorado State,-0.41,-0.01,79,0.02,41,-0.15,74,0.05,98,-0.78,122,-0.2,66
James Madison,-0.42,0,72,-0.02,74,-0.1,50,0.21,39,-1.31,129,-0.57,97
Arkansas,-0.43,0.03,50,0.04,27,-0.35,126,-0.09,117,0.03,80,0.75,8
Texas Tech,-0.44,-0.02,95,-0.05,93,-0.28,113,0.09,83,-0.05,83,-0.52,90
Toledo,-0.51,-0.09,125,-0.06,96,0.06,15,-0.08,112,-0.57,116,-1.44,130
BYU,-0.52,0,70,-0.2,122,-0.1,48,0.17,60,-0.53,114,-0.37,78
UCLA,-0.53,0.14,15,0.02,42,-0.15,70,-0.5,130,-0.23,97,-0.22,68
Coastal Carolina,-0.54,-0.01,84,-0.02,78,-0.09,42,-0.25,125,-0.18,96,-0.79,115
Massachusetts,-0.55,-0.04,105,-0.05,94,-0.23,106,-0.11,119,0.19,65,0,-
New Mexico State,-0.56,-0.03,101,-0.05,91,-0.13,65,0.24,24,-1.37,130,-0.21,67
California,-0.59,-0.16,131,-0.07,100,-0.12,56,0.08,89,-0.26,100,-1.13,125
Northwestern,-0.61,0.04,44,0.04,24,-0.31,119,0.06,93,-1.16,128,0.81,6
Connecticut,-0.7,-0.05,107,-0.07,102,-0.38,127,-0.27,127,0.88,11,-0.61,102
Boise State,-0.7,-0.11,126,-0.15,116,-0.15,75,-0.14,120,0.43,43,-0.2,65
Georgia Tech,-0.77,0.02,53,0,54,-0.12,60,-0.62,131,0.11,75,-0.36,76
San Jose State,-0.77,0.02,62,-0.27,127,-0.18,85,0.03,106,-0.17,95,-1.2,129
Baylor,-0.81,-0.11,127,-0.25,124,-0.19,93,0.21,38,-0.3,105,0.46,22
Army,-0.85,-0.05,110,0.08,5,-0.45,130,-0.06,111,-0.7,119,0.57,14
LSU,-0.9,-0.11,128,-0.03,79,-0.48,131,0.13,73,-0.47,108,0.02,42
Boston College,-0.91,0,71,-0.39,129,-0.19,92,0.25,22,-0.52,113,-0.53,92
Appalachian State,-0.94,0.06,35,-0.39,130,-0.21,99,0.09,86,-0.3,104,0.17,33
Tulsa,-1,-0.09,124,-0.02,72,-0.38,128,-0.15,121,-0.35,106,-0.17,60
UL Monroe,-2.11,-0.06,113,-0.54,131,-0.2,97,-0.37,128,-0.78,123,-0.17,62
